[11:58:34] [main/INFO]: ModLauncher running: args [--username, LinksApprentice, --version, forge-47.3.0, --gameDir, D:\MC modding\Instances\Path Accesion, --assetsDir, D:\MC modding\Install\assets, --assetIndex, 5, --uuid, 2236429e762746aba45224c7749b303b, --accessToken, ????????, --clientId, 109f488-8ff088-1d3e2f-ff479f-111595, --xuid, 2535405300899345, --userType, msa, --versionType, release, --width, 2560, --height, 1440, --launchTarget, forgeclient, --fml.forgeVersion, 47.3.0, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412]
[11:58:34] [main/INFO]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.8 by Eclipse Adoptium; OS Windows 11 arch amd64 version 10.0
[11:58:36] [main/INFO]: Found mod file carryon-forge-1.20.1-2.1.2.7.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file centrifugetiersreproduced-1.20.1-1.4.2.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file citadel-2.6.1-1.20.1.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file clockwork-1.20.1-0.1.16-forge-b3b22e39fe.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file Clumps-forge-1.20.1-12.0.0.4.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file CodeChickenLib-1.20.1-4.4.0.516-universal.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file Compressium-3.0.2-build.12+mc1.20.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file configured-forge-1.20.1-2.2.3.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file connectivity-1.20.1-6.1.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file Controlling-forge-1.20.1-12.0.2.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file coolcat_lib-forge-1.20.1-v1.0.2-release.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file Corgilib-Forge-1.20.1-4.0.3.3.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file cosmeticarmorreworked-1.20.1-v1a.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file create-1.20.1-0.5.1.j.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file cupboard-1.20.1-2.7.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file curios-forge-5.11.0+1.20.1.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file DarkModeEverywhere-1.20.1-1.2.3.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file Draconic-Evolution-1.20.1-3.1.2.598-universal.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file dripium-1.0.0.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file drippyloadingscreen_forge_3.0.9_MC_1.20.1.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file dummmmmmy-1.20-2.0.2.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file embeddium-0.3.31+mc1.20.1.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file embeddiumplus-1.20.1-v1.2.13.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file entityculling-forge-1.7.2-mc1.20.1.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file entityjs-0.4.0-1.20.1.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file EuphoriaPatcher-1.4.3-r5.3-forge.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file eureka-1201-1.5.1-beta.3.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file everycomp-1.20-2.7.6.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file fancymenu_forge_3.3.2_MC_1.20.1.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file fastasyncworldsave-1.20.1-2.1.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file fastboot-1.20.x-1.2.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file FastFurnace-1.20.1-8.0.2.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file FastLeafDecay-32.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file FastWorkbench-1.20.1-8.0.4.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file ferritecore-6.0.1-forge.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file fixedmeltdownagain.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file flerovium-forge-1.20.1-1.1.8-all.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file forbidden_arcanus-1.20.1-2.2.6.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file ftb-chunks-forge-2001.3.4.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file ftb-library-forge-2001.2.6.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file ftb-quests-forge-2001.4.9.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file ftb-teams-forge-2001.3.0.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file ftb-ultimine-forge-2001.1.5.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file ftbbackups2-forge-1.20-1.0.23.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file GeckoJS-2001forge-1.5.0.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file geckolib-forge-1.20.1-4.4.9.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file GeckoLibOculusCompat-Forge-1.0.1.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file GlitchCore-forge-1.20.1-0.0.1.1.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file gpumemleakfix-1.20.1-1.8.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file iceandfire-2.1.13-1.20.1-beta-5.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file imfast-FORGE-1.20.1-1.0.2.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file ImmediatelyFast-Forge-1.3.3+1.20.4.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file industrial-foregoing-1.20.1-3.5.19.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file Jade-1.20.1-forge-11.11.1.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file jeed-1.20-2.2.2.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file jei-1.20.1-forge-15.20.0.105.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file justenoughbreeding-forge-1.20-1.20.1-1.5.0.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file JustEnoughProfessions-forge-1.20.1-3.0.1.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file JustEnoughResources-1.20.1-1.4.0.247.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file konkrete_forge_1.8.0_MC_1.20-1.20.1.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file kotlinforforge-4.11.0-all.jar of type LIBRARY with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file kubejs-create-forge-2001.2.5-build.2.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file kubejs-forge-2001.6.5-build.16.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file kubejs_botania-1.4.0-forge.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file ldlib-forge-1.20.1-1.0.33.b.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file letmedespawn-1.20.x-forge-1.4.4.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file lootr-forge-1.20-0.7.35.90.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file MEED-1.20.1-5.5.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file Mekanism-1.20.1-10.4.12.68.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file MekanismAdditions-1.20.1-10.4.12.68.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file MekanismGenerators-1.20.1-10.4.12.68.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file MekanismTools-1.20.1-10.4.12.68.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file melody_forge_1.0.3_MC_1.20.1-1.20.4.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file modernfix-forge-5.19.7+mc1.20.1.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file moonlight-1.20-2.13.41-forge.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file more_music_discs-railways.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file MouseTweaks-forge-mc1.20.1-2.25.1.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file mowziesmobs-1.6.5.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file multiblocked2-1.20.1-1.0.21.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file netherportalfix-forge-1.20-13.0.1.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file NoChatReports-FORGE-1.20.1-v2.2.2.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file notenoughanimations-forge-1.8.2-mc1.20.1.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file oculus-mc1.20.1-1.7.0.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file Oh-The-Biomes-Weve-Gone-Forge-1.4.4.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file Oh-The-Trees-Youll-Grow-forge-1.20.1-1.3.3.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file overloadedarmorbar-1.20.1-1.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file packetfixer-forge-1.4.2-1.19-to-1.20.1.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file Patchouli-1.20.1-84-FORGE.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file pigzilla-1.3.2-forge-1.20.1.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file Placebo-1.20.1-8.6.2.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file polylib-forge-2000.0.3-build.143.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file polymorph-forge-0.49.8+1.20.1.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file ponderjs-1.20.1-1.4.0.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file probejs-6.0.1-forge.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file productivebees-1.20.1-12.6.0.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file radium-mc1.20.1-0.12.4+git.26c9d8e.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file Re-Avaritia-forged-1.20.1-1.3.8.3.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file rhino-forge-2001.2.3-build.6.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file Roundabout-forge-1.20.1-0.5.3.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file Searchables-forge-1.20.1-1.0.3.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file skyarena-1.0.9.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file smoothchunk-1.20.1-3.8.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file sodiumdynamiclights-forge-1.0.9-1.20.1.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file sodiumoptionsapi-forge-1.0.8-1.20.1.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file sound-physics-remastered-forge-1.20.1-1.4.8.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file starlight-1.1.2+forge.1cda73c.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file StarlightxAE-1.20.1-1.0-forge.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file Stellar View-1.20.1-0.3.3.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file structureessentials-1.20.1-3.4.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file tact-1.2.1+1.20.1.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file TerraBlender-forge-1.20.1-3.0.1.7.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file titanium-1.20.1-3.8.32.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file ToastControl-1.20.1-8.0.3.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file tough_as_nails_compat-1.0.5-1.20.1.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file tough_as_nails_egf-1.0.6-forge-1.20.1.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file ToughAsNails-forge-1.20.1-9.2.0.171.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file trashslot-forge-1.20-15.1.0.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file ultimine_addition-forge-1.20.1-v1.4.0-release.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file valhelsia_core-forge-1.20.1-1.1.2.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file valkyrienskies-120-2.3.0-beta.5.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file Vampirism-1.20.1-1.10.12.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file vampirism_integrations-1.20.1-1.8.0.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file watermedia-2.1.8.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file waystones-forge-1.20-14.1.6.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file XaeroPlus-2.24.9+forge-1.20.1-WM1.39.2-MM24.6.1.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file Xaeros_Minimap_24.6.1_Forge_1.20.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file xaeros_waystones_compability-1.0.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file XaerosWorldMap_1.39.2_Forge_1.20.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/WARN]: Mod file D:\MC modding\Install\libraries\net\minecraftforge\fmlcore\1.20.1-47.3.0\fmlcore-1.20.1-47.3.0.jar is missing mods.toml file
[11:58:36] [main/WARN]: Mod file D:\MC modding\Install\libraries\net\minecraftforge\javafmllanguage\1.20.1-47.3.0\javafmllanguage-1.20.1-47.3.0.jar is missing mods.toml file
[11:58:36] [main/WARN]: Mod file D:\MC modding\Install\libraries\net\minecraftforge\lowcodelanguage\1.20.1-47.3.0\lowcodelanguage-1.20.1-47.3.0.jar is missing mods.toml file
[11:58:36] [main/WARN]: Mod file D:\MC modding\Install\libraries\net\minecraftforge\mclanguage\1.20.1-47.3.0\mclanguage-1.20.1-47.3.0.jar is missing mods.toml file
[11:58:36] [main/INFO]: Found mod file fmlcore-1.20.1-47.3.0.jar of type LIBRARY with provider net.minecraftforge.fml.loading.moddiscovery.MinecraftLocator@3db663d0
[11:58:36] [main/INFO]: Found mod file javafmllanguage-1.20.1-47.3.0.jar of type LANGPROVIDER with provider net.minecraftforge.fml.loading.moddiscovery.MinecraftLocator@3db663d0
[11:58:36] [main/INFO]: Found mod file lowcodelanguage-1.20.1-47.3.0.jar of type LANGPROVIDER with provider net.minecraftforge.fml.loading.moddiscovery.MinecraftLocator@3db663d0
[11:58:36] [main/INFO]: Found mod file mclanguage-1.20.1-47.3.0.jar of type LANGPROVIDER with provider net.minecraftforge.fml.loading.moddiscovery.MinecraftLocator@3db663d0
[11:58:36] [main/INFO]: Found mod file client-1.20.1-20230612.114412-srg.jar of type MOD with provider net.minecraftforge.fml.loading.moddiscovery.MinecraftLocator@3db663d0
[11:58:36] [main/INFO]: Found mod file forge-1.20.1-47.3.0-universal.jar of type MOD with provider net.minecraftforge.fml.loading.moddiscovery.MinecraftLocator@3db663d0
[11:58:36] [main/WARN]: Attempted to select two dependency jars from JarJar which have the same identification: Mod File:  and Mod File: . Using Mod File: 
